criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy
entropy,,log2,1,2,200,0.9614800000000001
entropy,,log2,1,2,300,0.96136
entropy,,log2,1,5,100,0.96266
entropy,,log2,1,5,200,0.96254
entropy,,log2,1,5,300,0.96236
entropy,,log2,1,10,100,0.9637800000000001
entropy,,log2,1,10,200,0.96372
entropy,,log2,1,10,300,0.96376
entropy,,log2,2,2,100,0.9627799999999999
entropy,,log2,2,2,200,0.9631000000000001
entropy,,log2,2,2,300,0.9630599999999999
entropy,,log2,2,5,100,0.96296
entropy,,log2,2,5,200,0.96326
entropy,,log2,2,5,300,0.96294
entropy,,log2,2,10,100,0.9639199999999999
entropy,,log2,2,10,200,0.96412
entropy,,log2,2,10,300,0.9641400000000001
entropy,,log2,4,2,100,0.9643
entropy,,log2,4,2,200,0.9643200000000001
entropy,,log2,4,2,300,0.96416
entropy,,log2,4,5,100,0.9643
entropy,,log2,4,5,200,0.9643200000000001
entropy,,log2,4,5,300,0.96416
entropy,,log2,4,10,100,0.9643600000000001
entropy,,log2,4,10,200,0.9644199999999999
entropy,,log2,4,10,300,0.9642
entropy,10.0,sqrt,1,2,100,0.9658
entropy,10.0,sqrt,1,2,200,0.9656399999999999
entropy,10.0,sqrt,1,2,300,0.9657399999999999
entropy,10.0,sqrt,1,5,100,0.96574
entropy,10.0,sqrt,1,5,200,0.9658199999999999
entropy,10.0,sqrt,1,5,300,0.9657600000000001
entropy,10.0,sqrt,1,10,100,0.96574
entropy,10.0,sqrt,1,10,200,0.9658
entropy,10.0,sqrt,1,10,300,0.9658
entropy,10.0,sqrt,2,2,100,0.9657
entropy,10.0,sqrt,2,2,200,0.9657600000000001
entropy,10.0,sqrt,2,2,300,0.9656600000000001
entropy,10.0,sqrt,2,5,100,0.9657399999999999
entropy,10.0,sqrt,2,5,200,0.96584
entropy,10.0,sqrt,2,5,300,0.9658599999999999
entropy,10.0,sqrt,2,10,100,0.9657
entropy,10.0,sqrt,2,10,200,0.9657199999999999
entropy,10.0,sqrt,2,10,300,0.96578
entropy,10.0,sqrt,4,2,100,0.96588
entropy,10.0,sqrt,4,2,200,0.96578
entropy,10.0,sqrt,4,2,300,0.96566
entropy,10.0,sqrt,4,5,100,0.96588
entropy,10.0,sqrt,4,5,200,0.96578
entropy,10.0,sqrt,4,5,300,0.96566
entropy,10.0,sqrt,4,10,100,0.9654400000000001
entropy,10.0,sqrt,4,10,200,0.9658599999999999
entropy,10.0,sqrt,4,10,300,0.9657599999999998
entropy,10.0,log2,1,2,100,0.9658
entropy,10.0,log2,1,2,200,0.9656399999999999
entropy,10.0,log2,1,2,300,0.9657399999999999
entropy,10.0,log2,1,5,100,0.96574
entropy,10.0,log2,1,5,200,0.9658199999999999
entropy,10.0,log2,1,5,300,0.9657600000000001
entropy,10.0,log2,1,10,100,0.96574
entropy,10.0,log2,1,10,200,0.9658
entropy,10.0,log2,1,10,300,0.9658
entropy,10.0,log2,2,2,100,0.9657
entropy,10.0,log2,2,2,200,0.9657600000000001
entropy,10.0,log2,2,2,300,0.9656600000000001
entropy,10.0,log2,2,5,100,0.9657399999999999
entropy,10.0,log2,2,5,200,0.96584
entropy,10.0,log2,2,5,300,0.9658599999999999
entropy,10.0,log2,2,10,100,0.9657
entropy,10.0,log2,2,10,200,0.9657199999999999
entropy,10.0,log2,2,10,300,0.96578
entropy,10.0,log2,4,2,100,0.96588
entropy,10.0,log2,4,2,200,0.96578
entropy,10.0,log2,4,2,300,0.96566
entropy,10.0,log2,4,5,100,0.96588
entropy,10.0,log2,4,5,200,0.96578
entropy,10.0,log2,4,5,300,0.96566
entropy,10.0,log2,4,10,100,0.9654400000000001
entropy,10.0,log2,4,10,200,0.9658599999999999
entropy,10.0,log2,4,10,300,0.9657599999999998
entropy,25.0,sqrt,1,2,100,0.9620999999999998
entropy,25.0,sqrt,1,2,200,0.96196
entropy,25.0,sqrt,1,2,300,0.9617000000000001
entropy,25.0,sqrt,1,5,100,0.96276
entropy,25.0,sqrt,1,5,200,0.9625199999999999
entropy,25.0,sqrt,1,5,300,0.9625
entropy,25.0,sqrt,1,10,100,0.96386
entropy,25.0,sqrt,1,10,200,0.96416
entropy,25.0,sqrt,1,10,300,0.96412
entropy,25.0,sqrt,2,2,100,0.9629
entropy,25.0,sqrt,2,2,200,0.9630599999999999
entropy,25.0,sqrt,2,2,300,0.96296
entropy,25.0,sqrt,2,5,100,0.9629800000000002
entropy,25.0,sqrt,2,5,200,0.9631000000000001
entropy,25.0,sqrt,2,5,300,0.9631599999999999
entropy,25.0,sqrt,2,10,100,0.9641
entropy,25.0,sqrt,2,10,200,0.96416
entropy,25.0,sqrt,2,10,300,0.9639599999999999
entropy,25.0,sqrt,4,2,100,0.96418
entropy,25.0,sqrt,4,2,200,0.96434
entropy,25.0,sqrt,4,2,300,0.9642999999999999
entropy,25.0,sqrt,4,5,100,0.96418
entropy,25.0,sqrt,4,5,200,0.96434
entropy,25.0,sqrt,4,5,300,0.9642999999999999
entropy,25.0,sqrt,4,10,100,0.9644600000000001
entropy,25.0,sqrt,4,10,200,0.96448
entropy,25.0,sqrt,4,10,300,0.96424
entropy,25.0,log2,1,2,100,0.9620999999999998
entropy,25.0,log2,1,2,200,0.96196
entropy,25.0,log2,1,2,300,0.9617000000000001
entropy,25.0,log2,1,5,100,0.96276
entropy,25.0,log2,1,5,200,0.9625199999999999
entropy,25.0,log2,1,5,300,0.9625
entropy,25.0,log2,1,10,100,0.96386
entropy,25.0,log2,1,10,200,0.96416
entropy,25.0,log2,1,10,300,0.96412
entropy,25.0,log2,2,2,100,0.9629
entropy,25.0,log2,2,2,200,0.9630599999999999
entropy,25.0,log2,2,2,300,0.96296
entropy,25.0,log2,2,5,100,0.9629800000000002
entropy,25.0,log2,2,5,200,0.9631000000000001
entropy,25.0,log2,2,5,300,0.9631599999999999
entropy,25.0,log2,2,10,100,0.9641
entropy,25.0,log2,2,10,200,0.96416
entropy,25.0,log2,2,10,300,0.9639599999999999
entropy,25.0,log2,4,2,100,0.96418
entropy,25.0,log2,4,2,200,0.96434
entropy,25.0,log2,4,2,300,0.9642999999999999
entropy,25.0,log2,4,5,100,0.96418
entropy,25.0,log2,4,5,200,0.96434
entropy,25.0,log2,4,5,300,0.9642999999999999
entropy,25.0,log2,4,10,100,0.9644600000000001
entropy,25.0,log2,4,10,200,0.96448
entropy,25.0,log2,4,10,300,0.96424
